,IMA_C,IMA_ESP,IMA_DSP,ESP,DSP
DESK4_A_TOTAL,185988.05588914588,243921.5599100408,473789.8062839714,"['2009-05-28', '2010-05-17']","['2008-04-02', '2009-03-20']"
DESK4_B_TOTAL,236239.08761953778,278987.30424786377,383047.69383717864,"['2009-05-28', '2010-05-17']","['2008-12-18', '2009-12-07']"
DESK4_C_TOTAL,186278.954190457,244303.11972376413,474903.6504116176,"['2009-05-28', '2010-05-17']","['2008-04-02', '2009-03-20']"
DESK4_D_TOTAL,4218.890183783292,7366.220063617137,9662.8892046743,"['2009-05-28', '2010-05-17']","['2007-09-28', '2008-09-16']"
DESK4_E_TOTAL,4215.504188880052,7360.439166840033,9655.83148027574,"['2009-05-28', '2010-05-17']","['2007-09-28', '2008-09-16']"
DESK4_F_TOTAL,81682.46463143869,225257.67025388198,225257.67025388198,"['2009-05-28', '2010-05-17']","['2009-05-28', '2010-05-17']"
DESK4_G_TOTAL,883.3757496424978,2057.5549039921248,3026.2823326890125,"['2009-05-28', '2010-05-17']","['2009-01-21', '2010-01-08']"
DESK4_H_TOTAL,170907.20605135802,233610.86315423864,275751.854714643,"['2009-05-28', '2010-05-17']","['2007-10-23', '2008-10-09']"
DESK4_I_TOTAL,273184.2779596949,315927.4509328679,439823.46358002455,"['2009-05-28', '2010-05-17']","['2008-12-18', '2009-12-07']"
DESK4_J_TOTAL,16738.011884978812,12187.176098613349,43942.74991247391,"['2009-05-28', '2010-05-17']","['2007-10-23', '2008-10-09']"
DESK4_K_TOTAL,15229.982591208696,12407.79525287954,57289.02917150955,"['2009-05-28', '2010-05-17']","['2008-10-09', '2009-09-28']"
